AGEP,SEX,SCHL,MAR,OCCP,WKHP,COW,CIT,RAC1P,DIS,HICOV,NATIVITY,income_label
70,2,21,3,3255,40,5,1,1,2,1,1,1
14,2,11,5,4120,40,1,1,1,2,1,1,0
58,1,13,1,7700,42,1,1,1,2,1,1,0
50,2,21,1,2310,40,3,1,1,2,1,1,0
27,1,16,3,4750,40,1,1,1,2,1,1,0
24,1,16,5,4120,40,1,1,2,1,1,1,0
44,1,14,5,4120,40,1,1,1,2,1,1,0
12,1,8,5,4120,40,1,1,1,2,1,1,0
5,1,2,5,4120,40,1,1,1,2,1,1,0
26,2,21,5,3620,45,1,4,1,2,1,2,0
56,1,18,5,7315,40,1,1,1,2,1,1,1
29,1,16,1,6730,40,4,1,1,2,1,1,0
32,2,21,1,800,40,1,1,1,2,1,1,1
53,2,19,3,4120,40,1,1,9,2,1,1,0
31,2,16,5,4120,40,1,1,9,1,1,1,0
24,2,18,1,4965,38,1,1,1,2,1,1,0
85,1,23,1,4120,40,1,1,1,2,1,1,1
40,1,21,1,220,50,1,1,1,2,1,1,1
27,2,20,1,3255,40,1,1,1,2,1,1,0
25,2,20,5,5240,30,7,3,1,2,1,1,0
11,1,7,5,4120,40,1,1,1,2,1,1,0
45,2,20,2,4510,40,6,1,2,2,2,1,0
70,2,19,1,4120,40,1,1,1,1,1,1,0
47,1,19,1,7140,40,5,1,1,1,1,1,1
13,1,9,5,4120,40,1,1,1,2,1,1,0
17,2,13,5,4120,40,1,1,1,2,1,1,0
33,1,18,1,1970,40,4,1,1,2,1,1,0
37,2,19,1,4810,60,1,1,1,2,1,1,0
70,1,19,1,4120,40,1,1,1,2,1,1,0
71,2,19,1,4120,40,1,1,1,2,1,1,0
38,1,21,1,335,40,6,1,1,2,1,1,1
31,2,16,1,335,40,6,1,1,2,1,1,1
53,2,18,1,5400,25,2,1,1,2,1,1,1
17,1,13,5,4251,60,2,1,1,2,1,1,0
77,2,17,2,4120,40,1,1,1,1,1,1,0
47,2,19,3,5110,40,1,1,2,2,1,1,0
81,1,19,1,4120,40,1,1,1,2,1,1,1
49,1,16,1,4120,40,1,1,1,2,1,1,0
58,2,21,1,4030,25,1,1,2,2,1,1,0
24,1,20,1,9600,50,1,5,8,2,2,2,0
64,1,16,3,4120,40,1,1,1,1,1,1,0
63,1,22,1,4220,6,6,1,1,2,1,1,0
47,1,16,1,7200,40,6,1,1,2,1,1,1
81,1,19,1,4120,40,1,1,1,2,1,1,0
30,1,21,1,1065,40,1,1,2,2,1,1,0
